"Y(X), created by Plot Digitizer, 2.6.9"
"Date: 24/09/23, 9:24:01 PM"


30
Energy(eV),Relative Yeild(%)
3.44431,2.51848,
3.38199,3.74731,
3.31593,6.31217,
3.26557,9.60685,
3.21550,15.2719,
3.18897,21.8094,
3.16633,28.3442,
3.14802,38.2836,
3.11493,55.1968,
3.09517,69.2857,
3.07859,77.4460,
3.05436,86.9451,
3.03379,94.3674,
3.01474,98.2329,
2.99735,99.7266,
2.97554,96.9269,
2.95132,90.4248,
2.93465,81.6951,
2.92988,74.5868,
2.91321,65.8571,
2.90072,59.4950,
2.86668,52.4072,
2.82079,44.2905,
2.77082,34.6951,
2.72476,25.0970,
2.65929,16.4014,
2.59227,11.1145,
2.51948,6.42430,
2.45087,4.10171,
2.38427,2.22219,
